PerConfig,GenerationIndex,CurrentFragmentIndex,CurrentSequenceNumber,RedundancyUsed,RedundancyMax,Success,Rank,MissedPackets,ReceivedPackets,IsRunning,FirstRowCrc8,LastRowCrc8,PrngStateBefore,PrngStateAfter
0,0,19,19,0,20,True,19,0,20,True,124,184,2932232616,959586516
0,1,19,59,0,20,True,19,0,20,True,239,134,2932232616,959586516
0,2,19,99,0,20,True,19,0,20,True,143,75,2932232616,959586516
0,3,19,139,0,20,True,19,0,20,True,28,250,2932232616,959586516
0,4,19,179,0,20,True,19,0,20,True,79,38,2932232616,959586516
0,5,19,219,0,20,True,19,0,20,True,113,181,2932232616,959586516
0,6,19,259,0,20,True,19,0,20,True,188,145,2932232616,959586516
0,7,19,299,0,20,True,19,0,20,True,198,2,2932232616,959586516
0,8,19,339,0,20,True,19,0,20,True,26,222,2932232616,959586516
0,9,19,379,0,20,True,19,0,20,True,137,111,2932232616,959586516
0,10,19,419,0,20,True,19,0,20,True,102,162,2932232616,959586516
0,11,19,459,0,20,True,19,0,20,True,245,156,2932232616,959586516
0,12,19,499,0,20,True,19,0,20,True,41,71,2932232616,959586516
0,13,19,539,0,20,True,19,0,20,True,16,212,2932232616,959586516
0,14,19,579,0,20,True,19,0,20,True,221,180,2932232616,959586516
0.03,0,19,19,0,20,True,19,0,20,True,124,184,2932232616,959586516
0.03,1,20,60,1,20,True,19,1,20,True,239,134,959586516,369227209
0.03,2,19,99,0,20,True,19,0,20,True,143,75,2932232616,959586516
0.03,3,19,139,0,20,True,19,0,20,True,28,250,2932232616,959586516
0.03,4,19,179,0,20,True,19,0,20,True,79,38,2932232616,959586516
0.03,5,19,219,0,20,True,19,0,20,True,113,181,2932232616,959586516
0.03,6,19,259,0,20,True,19,0,20,True,188,145,2932232616,959586516
0.03,7,19,299,0,20,True,19,0,20,True,198,2,2932232616,959586516
0.03,8,20,340,1,20,True,19,1,20,True,26,222,959586516,369227209
0.03,9,21,381,2,20,True,19,2,20,True,137,111,369227209,159028224
0.03,10,19,419,0,20,True,19,0,20,True,102,162,2932232616,959586516
0.03,11,19,459,0,20,True,19,0,20,True,245,156,2932232616,959586516
0.03,12,19,499,0,20,True,19,0,20,True,41,71,2932232616,959586516
0.03,13,19,539,0,20,True,19,0,20,True,16,212,2932232616,959586516
0.03,14,19,579,0,20,True,19,0,20,True,221,180,2932232616,959586516
0.06,0,20,20,1,20,True,19,1,20,True,124,184,959586516,369227209
0.06,1,20,60,1,20,True,19,1,20,True,239,134,959586516,369227209
0.06,2,20,100,1,20,True,19,1,20,True,143,75,959586516,369227209
0.06,3,21,141,2,20,True,19,2,20,True,28,250,369227209,159028224
0.06,4,19,179,0,20,True,19,0,20,True,79,38,2932232616,959586516
0.06,5,22,222,3,20,True,19,3,20,True,113,181,159028224,1188080670
0.06,6,19,259,0,20,True,19,0,20,True,188,145,2932232616,959586516
0.06,7,23,303,4,20,True,19,4,20,True,198,2,1188080670,3414165203
0.06,8,21,341,2,20,True,19,2,20,True,26,222,369227209,159028224
0.06,9,19,379,0,20,True,19,0,20,True,137,111,2932232616,959586516
0.06,10,19,419,0,20,True,19,0,20,True,102,162,2932232616,959586516
0.06,11,21,461,2,20,True,19,2,20,True,245,156,369227209,159028224
0.06,12,20,500,1,20,True,19,1,20,True,41,71,959586516,369227209
0.06,13,20,540,1,20,True,19,1,20,True,16,212,959586516,369227209
0.06,14,21,581,2,20,True,19,2,20,True,221,180,369227209,159028224
