PerConfig,GenerationIndex,CurrentFragmentIndex,CurrentSequenceNumber,RedundancyUsed,RedundancyMax,Success,Rank,MissedPackets,ReceivedPackets,IsRunning,FirstRowCrc8,LastRowCrc8,PrngStateBefore,PrngStateAfter
0.06,0,0,0,-19,20,False,1,0,1,True,216,216,1,2525019014
0.06,0,1,1,-18,20,False,2,0,2,True,57,216,2525019014,2592004160
0.06,0,2,2,-17,20,False,3,0,3,True,61,216,2592004160,1988683261
0.06,0,3,3,-16,20,False,4,0,4,True,23,14,1988683261,2677848701
0.06,0,4,4,-15,20,False,5,0,5,True,116,192,2677848701,263841224
0.06,0,5,5,-14,20,False,6,0,6,True,227,162,263841224,3531698935
0.06,0,6,6,-13,20,False,7,0,7,True,50,195,3531698935,515086452
0.06,0,7,7,-12,20,False,8,0,8,True,242,238,515086452,1021539344
0.06,0,8,8,-11,20,False,9,0,9,True,99,148,1021539344,1534276539
0.06,0,9,9,-10,20,False,10,0,10,True,147,115,1534276539,4225193153
0.06,0,10,10,-9,20,False,11,0,11,True,254,239,4225193153,2680931039
0.06,0,12,12,-7,20,False,12,1,12,True,88,33,3821198068,3333533055
0.06,0,13,13,-6,20,False,13,1,13,True,194,222,3333533055,3756345482
0.06,0,14,14,-5,20,False,14,1,14,True,112,178,3756345482,364380949
0.06,0,15,15,-4,20,False,15,1,15,True,3,126,364380949,3283420129
0.06,0,16,16,-3,20,False,16,1,16,True,66,11,3283420129,2109694035
0.06,0,17,17,-2,20,False,17,1,17,True,175,91,2109694035,1323037321
0.06,0,18,18,-1,20,False,18,1,18,True,39,192,1323037321,2932232616
0.06,0,19,19,0,20,False,19,1,19,True,11,203,2932232616,959586516
0.06,0,20,20,1,20,True,19,1,20,True,124,184,959586516,369227209
0.06,0,21,21,2,20,True,19,1,21,True,124,184,369227209,159028224
0.06,0,22,22,3,20,True,19,1,22,True,124,184,159028224,1188080670
0.06,0,23,23,4,20,True,19,1,23,True,124,184,1188080670,3414165203
0.06,0,24,24,5,20,True,19,1,24,True,124,184,3414165203,1215546913
0.06,0,25,25,6,20,True,19,1,25,True,124,184,1215546913,117655301
0.06,0,26,26,7,20,True,19,1,26,True,124,184,117655301,1694089972
0.06,0,27,27,8,20,True,19,1,27,True,124,184,1694089972,1927849080
0.06,0,28,28,9,20,True,19,1,28,True,124,184,1927849080,881403043
0.06,0,29,29,10,20,True,19,1,29,True,124,184,881403043,290148888
0.06,0,30,30,11,20,True,19,1,30,True,124,184,290148888,2155938634
0.06,0,31,31,12,20,True,19,1,31,True,124,184,2155938634,3428832667
0.06,0,32,32,13,20,True,19,1,32,True,124,184,3428832667,12750172
0.06,0,33,33,14,20,True,19,1,33,True,124,184,12750172,1038962027
0.06,0,35,35,16,20,True,19,2,34,True,124,184,3472014867,410824228
0.06,0,36,36,17,20,True,19,2,35,True,124,184,410824228,516815495
0.06,0,37,37,18,20,True,19,2,36,True,124,184,516815495,390411510
0.06,0,38,38,19,20,True,19,2,37,True,124,184,390411510,215561586
0.06,0,39,39,20,20,True,19,2,38,True,124,184,215561586,563019712
0.06,1,0,40,-19,20,False,1,0,1,True,240,240,1,2525019014
0.06,1,1,41,-18,20,False,2,0,2,True,54,240,2525019014,2592004160
0.06,1,2,42,-17,20,False,3,0,3,True,184,240,2592004160,1988683261
0.06,1,3,43,-16,20,False,4,0,4,True,69,19,1988683261,2677848701
0.06,1,4,44,-15,20,False,5,0,5,True,133,89,2677848701,263841224
0.06,1,5,45,-14,20,False,6,0,6,True,111,183,263841224,3531698935
0.06,1,7,47,-12,20,False,7,1,7,True,0,231,515086452,1021539344
0.06,1,8,48,-11,20,False,8,1,8,True,96,3,1021539344,1534276539
0.06,1,9,49,-10,20,False,9,1,9,True,12,93,1534276539,4225193153
0.06,1,10,50,-9,20,False,10,1,10,True,39,233,4225193153,2680931039
0.06,1,11,51,-8,20,False,11,1,11,True,7,84,2680931039,3821198068
0.06,1,12,52,-7,20,False,12,1,12,True,137,141,3821198068,3333533055
0.06,1,13,53,-6,20,False,13,1,13,True,124,108,3333533055,3756345482
0.06,1,14,54,-5,20,False,14,1,14,True,3,111,3756345482,364380949
0.06,1,15,55,-4,20,False,15,1,15,True,36,96,364380949,3283420129
0.06,1,16,56,-3,20,False,16,1,16,True,201,1,3283420129,2109694035
0.06,1,17,57,-2,20,False,17,1,17,True,131,82,2109694035,1323037321
0.06,1,18,58,-1,20,False,18,1,18,True,28,3,1323037321,2932232616
0.06,1,19,59,0,20,False,19,1,19,True,219,106,2932232616,959586516
0.06,1,20,60,1,20,True,19,1,20,True,239,134,959586516,369227209
0.06,1,21,61,2,20,True,19,1,21,True,239,134,369227209,159028224
0.06,1,22,62,3,20,True,19,1,22,True,239,134,159028224,1188080670
0.06,1,23,63,4,20,True,19,1,23,True,239,134,1188080670,3414165203
0.06,1,24,64,5,20,True,19,1,24,True,239,134,3414165203,1215546913
0.06,1,25,65,6,20,True,19,1,25,True,239,134,1215546913,117655301
0.06,1,26,66,7,20,True,19,1,26,True,239,134,117655301,1694089972
0.06,1,27,67,8,20,True,19,1,27,True,239,134,1694089972,1927849080
0.06,1,28,68,9,20,True,19,1,28,True,239,134,1927849080,881403043
0.06,1,29,69,10,20,True,19,1,29,True,239,134,881403043,290148888
0.06,1,30,70,11,20,True,19,1,30,True,239,134,290148888,2155938634
0.06,1,31,71,12,20,True,19,1,31,True,239,134,2155938634,3428832667
0.06,1,33,73,14,20,True,19,2,32,True,239,134,12750172,1038962027
0.06,1,34,74,15,20,True,19,2,33,True,239,134,1038962027,3472014867
0.06,1,35,75,16,20,True,19,2,34,True,239,134,3472014867,410824228
0.06,1,36,76,17,20,True,19,2,35,True,239,134,410824228,516815495
0.06,1,37,77,18,20,True,19,2,36,True,239,134,516815495,390411510
0.06,1,38,78,19,20,True,19,2,37,True,239,134,390411510,215561586
0.06,1,39,79,20,20,True,19,2,38,True,239,134,215561586,563019712
0.06,2,0,80,-19,20,False,1,0,1,True,21,21,1,2525019014
0.06,2,1,81,-18,20,False,2,0,2,True,87,21,2525019014,2592004160
0.06,2,2,82,-17,20,False,3,0,3,True,200,21,2592004160,1988683261
0.06,2,3,83,-16,20,False,4,0,4,True,134,70,1988683261,2677848701
0.06,2,4,84,-15,20,False,5,0,5,True,186,7,2677848701,263841224
0.06,2,5,85,-14,20,False,6,0,6,True,248,16,263841224,3531698935
0.06,2,6,86,-13,20,False,7,0,7,True,143,42,3531698935,515086452
0.06,2,7,87,-12,20,False,8,0,8,True,59,209,515086452,1021539344
0.06,2,8,88,-11,20,False,9,0,9,True,150,24,1021539344,1534276539
0.06,2,9,89,-10,20,False,10,0,10,True,15,18,1534276539,4225193153
0.06,2,10,90,-9,20,False,11,0,11,True,229,119,4225193153,2680931039
0.06,2,11,91,-8,20,False,12,0,12,True,252,61,2680931039,3821198068
0.06,2,13,93,-6,20,False,13,1,13,True,182,87,3333533055,3756345482
0.06,2,14,94,-5,20,False,14,1,14,True,91,80,3756345482,364380949
0.06,2,15,95,-4,20,False,15,1,15,True,251,2,364380949,3283420129
0.06,2,16,96,-3,20,False,16,1,16,True,183,232,3283420129,2109694035
0.06,2,17,97,-2,20,False,17,1,17,True,56,187,2109694035,1323037321
0.06,2,18,98,-1,20,False,18,1,18,True,141,81,1323037321,2932232616
0.06,2,19,99,0,20,False,19,1,19,True,134,176,2932232616,959586516
0.06,2,20,100,1,20,True,19,1,20,True,143,75,959586516,369227209
0.06,2,21,101,2,20,True,19,1,21,True,143,75,369227209,159028224
0.06,2,22,102,3,20,True,19,1,22,True,143,75,159028224,1188080670
0.06,2,23,103,4,20,True,19,1,23,True,143,75,1188080670,3414165203
0.06,2,25,105,6,20,True,19,2,24,True,143,75,1215546913,117655301
0.06,2,26,106,7,20,True,19,2,25,True,143,75,117655301,1694089972
0.06,2,27,107,8,20,True,19,2,26,True,143,75,1694089972,1927849080
0.06,2,28,108,9,20,True,19,2,27,True,143,75,1927849080,881403043
0.06,2,29,109,10,20,True,19,2,28,True,143,75,881403043,290148888
0.06,2,30,110,11,20,True,19,2,29,True,143,75,290148888,2155938634
0.06,2,31,111,12,20,True,19,2,30,True,143,75,2155938634,3428832667
0.06,2,32,112,13,20,True,19,2,31,True,143,75,3428832667,12750172
0.06,2,33,113,14,20,True,19,2,32,True,143,75,12750172,1038962027
0.06,2,34,114,15,20,True,19,2,33,True,143,75,1038962027,3472014867
0.06,2,36,116,17,20,True,19,3,34,True,143,75,410824228,516815495
0.06,2,37,117,18,20,True,19,3,35,True,143,75,516815495,390411510
0.06,2,38,118,19,20,True,19,3,36,True,143,75,390411510,215561586
0.06,2,39,119,20,20,True,19,3,37,True,143,75,215561586,563019712
0.06,3,0,120,-19,20,False,1,0,1,True,142,142,1,2525019014
0.06,3,2,122,-17,20,False,2,1,2,True,84,142,2592004160,1988683261
0.06,3,3,123,-16,20,False,3,1,3,True,252,142,1988683261,2677848701
0.06,3,4,124,-15,20,False,4,1,4,True,238,122,2677848701,263841224
0.06,3,5,125,-14,20,False,5,1,5,True,229,203,263841224,3531698935
0.06,3,6,126,-13,20,False,6,1,6,True,185,120,3531698935,515086452
0.06,3,7,127,-12,20,False,7,1,7,True,247,162,515086452,1021539344
0.06,3,8,128,-11,20,False,8,1,8,True,29,39,1021539344,1534276539
0.06,3,9,129,-10,20,False,9,1,9,True,104,228,1534276539,4225193153
0.06,3,10,130,-9,20,False,10,1,10,True,74,217,4225193153,2680931039
0.06,3,11,131,-8,20,False,11,1,11,True,155,124,2680931039,3821198068
0.06,3,13,133,-6,20,False,12,2,12,True,150,20,3333533055,3756345482
0.06,3,14,134,-5,20,False,13,2,13,True,125,205,3756345482,364380949
0.06,3,15,135,-4,20,False,14,2,14,True,126,113,364380949,3283420129
0.06,3,16,136,-3,20,False,15,2,15,True,151,16,3283420129,2109694035
0.06,3,17,137,-2,20,False,16,2,16,True,145,193,2109694035,1323037321
0.06,3,18,138,-1,20,False,17,2,17,True,15,78,1323037321,2932232616
0.06,3,19,139,0,20,False,18,2,18,True,5,125,2932232616,959586516
0.06,3,20,140,1,20,False,19,2,19,True,130,153,959586516,369227209
0.06,3,21,141,2,20,True,19,2,20,True,28,250,369227209,159028224
0.06,3,22,142,3,20,True,19,2,21,True,28,250,159028224,1188080670
0.06,3,23,143,4,20,True,19,2,22,True,28,250,1188080670,3414165203
0.06,3,24,144,5,20,True,19,2,23,True,28,250,3414165203,1215546913
0.06,3,25,145,6,20,True,19,2,24,True,28,250,1215546913,117655301
0.06,3,26,146,7,20,True,19,2,25,True,28,250,117655301,1694089972
0.06,3,27,147,8,20,True,19,2,26,True,28,250,1694089972,1927849080
0.06,3,28,148,9,20,True,19,2,27,True,28,250,1927849080,881403043
0.06,3,29,149,10,20,True,19,2,28,True,28,250,881403043,290148888
0.06,3,30,150,11,20,True,19,2,29,True,28,250,290148888,2155938634
0.06,3,31,151,12,20,True,19,2,30,True,28,250,2155938634,3428832667
0.06,3,32,152,13,20,True,19,2,31,True,28,250,3428832667,12750172
0.06,3,33,153,14,20,True,19,2,32,True,28,250,12750172,1038962027
0.06,3,34,154,15,20,True,19,2,33,True,28,250,1038962027,3472014867
0.06,3,35,155,16,20,True,19,2,34,True,28,250,3472014867,410824228
0.06,3,36,156,17,20,True,19,2,35,True,28,250,410824228,516815495
0.06,3,37,157,18,20,True,19,2,36,True,28,250,516815495,390411510
0.06,3,38,158,19,20,True,19,2,37,True,28,250,390411510,215561586
0.06,3,39,159,20,20,True,19,2,38,True,28,250,215561586,563019712
0.06,4,0,160,-19,20,False,1,0,1,True,44,44,1,2525019014
0.06,4,1,161,-18,20,False,2,0,2,True,105,44,2525019014,2592004160
0.06,4,2,162,-17,20,False,3,0,3,True,240,44,2592004160,1988683261
0.06,4,3,163,-16,20,False,4,0,4,True,90,27,1988683261,2677848701
0.06,4,4,164,-15,20,False,5,0,5,True,75,251,2677848701,263841224
0.06,4,5,165,-14,20,False,6,0,6,True,42,204,263841224,3531698935
0.06,4,6,166,-13,20,False,7,0,7,True,80,77,3531698935,515086452
0.06,4,7,167,-12,20,False,8,0,8,True,128,146,515086452,1021539344
0.06,4,8,168,-11,20,False,9,0,9,True,252,46,1021539344,1534276539
0.06,4,9,169,-10,20,False,10,0,10,True,149,14,1534276539,4225193153
0.06,4,10,170,-9,20,False,11,0,11,True,59,169,4225193153,2680931039
0.06,4,11,171,-8,20,False,12,0,12,True,208,67,2680931039,3821198068
0.06,4,12,172,-7,20,False,13,0,13,True,121,219,3821198068,3333533055
0.06,4,13,173,-6,20,False,14,0,14,True,133,169,3333533055,3756345482
0.06,4,14,174,-5,20,False,15,0,15,True,29,52,3756345482,364380949
0.06,4,15,175,-4,20,False,16,0,16,True,36,142,364380949,3283420129
0.06,4,16,176,-3,20,False,17,0,17,True,144,92,3283420129,2109694035
0.06,4,17,177,-2,20,False,18,0,18,True,67,21,2109694035,1323037321
0.06,4,18,178,-1,20,False,19,0,19,True,206,11,1323037321,2932232616
0.06,4,19,179,0,20,True,19,0,20,True,79,38,2932232616,959586516
0.06,4,20,180,1,20,True,19,0,21,True,79,38,959586516,369227209
0.06,4,21,181,2,20,True,19,0,22,True,79,38,369227209,159028224
0.06,4,22,182,3,20,True,19,0,23,True,79,38,159028224,1188080670
0.06,4,23,183,4,20,True,19,0,24,True,79,38,1188080670,3414165203
0.06,4,24,184,5,20,True,19,0,25,True,79,38,3414165203,1215546913
0.06,4,25,185,6,20,True,19,0,26,True,79,38,1215546913,117655301
0.06,4,26,186,7,20,True,19,0,27,True,79,38,117655301,1694089972
0.06,4,27,187,8,20,True,19,0,28,True,79,38,1694089972,1927849080
0.06,4,28,188,9,20,True,19,0,29,True,79,38,1927849080,881403043
0.06,4,29,189,10,20,True,19,0,30,True,79,38,881403043,290148888
0.06,4,30,190,11,20,True,19,0,31,True,79,38,290148888,2155938634
0.06,4,31,191,12,20,True,19,0,32,True,79,38,2155938634,3428832667
0.06,4,32,192,13,20,True,19,0,33,True,79,38,3428832667,12750172
0.06,4,33,193,14,20,True,19,0,34,True,79,38,12750172,1038962027
0.06,4,34,194,15,20,True,19,0,35,True,79,38,1038962027,3472014867
0.06,4,35,195,16,20,True,19,0,36,True,79,38,3472014867,410824228
0.06,4,36,196,17,20,True,19,0,37,True,79,38,410824228,516815495
0.06,4,37,197,18,20,True,19,0,38,True,79,38,516815495,390411510
0.06,4,38,198,19,20,True,19,0,39,True,79,38,390411510,215561586
0.06,4,39,199,20,20,True,19,0,40,True,79,38,215561586,563019712
0.06,5,0,200,-19,20,False,1,0,1,True,2,2,1,2525019014
0.06,5,1,201,-18,20,False,2,0,2,True,250,2,2525019014,2592004160
0.06,5,2,202,-17,20,False,3,0,3,True,30,2,2592004160,1988683261
0.06,5,3,203,-16,20,False,4,0,4,True,52,14,1988683261,2677848701
0.06,5,4,204,-15,20,False,5,0,5,True,143,235,2677848701,263841224
0.06,5,5,205,-14,20,False,6,0,6,True,196,124,263841224,3531698935
0.06,5,6,206,-13,20,False,7,0,7,True,77,224,3531698935,515086452
0.06,5,7,207,-12,20,False,8,0,8,True,157,146,515086452,1021539344
0.06,5,8,208,-11,20,False,9,0,9,True,186,6,1021539344,1534276539
0.06,5,9,209,-10,20,False,10,0,10,True,59,22,1534276539,4225193153
0.06,5,10,210,-9,20,False,11,0,11,True,162,32,4225193153,2680931039
0.06,5,11,211,-8,20,False,12,0,12,True,243,174,2680931039,3821198068
0.06,5,14,214,-5,20,False,13,2,13,True,182,57,3756345482,364380949
0.06,5,15,215,-4,20,False,14,2,14,True,6,166,364380949,3283420129
0.06,5,17,217,-2,20,False,15,3,15,True,160,40,2109694035,1323037321
0.06,5,18,218,-1,20,False,16,3,16,True,226,34,1323037321,2932232616
0.06,5,19,219,0,20,False,17,3,17,True,92,50,2932232616,959586516
0.06,5,20,220,1,20,False,18,3,18,True,242,167,959586516,369227209
0.06,5,21,221,2,20,False,19,3,19,True,36,94,369227209,159028224
0.06,5,22,222,3,20,True,19,3,20,True,113,181,159028224,1188080670
0.06,5,23,223,4,20,True,19,3,21,True,113,181,1188080670,3414165203
0.06,5,24,224,5,20,True,19,3,22,True,113,181,3414165203,1215546913
0.06,5,25,225,6,20,True,19,3,23,True,113,181,1215546913,117655301
0.06,5,26,226,7,20,True,19,3,24,True,113,181,117655301,1694089972
0.06,5,27,227,8,20,True,19,3,25,True,113,181,1694089972,1927849080
0.06,5,28,228,9,20,True,19,3,26,True,113,181,1927849080,881403043
0.06,5,29,229,10,20,True,19,3,27,True,113,181,881403043,290148888
0.06,5,30,230,11,20,True,19,3,28,True,113,181,290148888,2155938634
0.06,5,31,231,12,20,True,19,3,29,True,113,181,2155938634,3428832667
0.06,5,32,232,13,20,True,19,3,30,True,113,181,3428832667,12750172
0.06,5,33,233,14,20,True,19,3,31,True,113,181,12750172,1038962027
0.06,5,34,234,15,20,True,19,3,32,True,113,181,1038962027,3472014867
0.06,5,35,235,16,20,True,19,3,33,True,113,181,3472014867,410824228
0.06,5,36,236,17,20,True,19,3,34,True,113,181,410824228,516815495
0.06,5,37,237,18,20,True,19,3,35,True,113,181,516815495,390411510
0.06,5,38,238,19,20,True,19,3,36,True,113,181,390411510,215561586
0.06,5,39,239,20,20,True,19,3,37,True,113,181,215561586,563019712
0.06,6,0,240,-19,20,False,1,0,1,True,29,29,1,2525019014
0.06,6,1,241,-18,20,False,2,0,2,True,40,29,2525019014,2592004160
0.06,6,2,242,-17,20,False,3,0,3,True,251,29,2592004160,1988683261
0.06,6,3,243,-16,20,False,4,0,4,True,121,66,1988683261,2677848701
0.06,6,4,244,-15,20,False,5,0,5,True,94,83,2677848701,263841224
0.06,6,5,245,-14,20,False,6,0,6,True,146,88,263841224,3531698935
0.06,6,6,246,-13,20,False,7,0,7,True,249,62,3531698935,515086452
0.06,6,7,247,-12,20,False,8,0,8,True,55,155,515086452,1021539344
0.06,6,8,248,-11,20,False,9,0,9,True,225,131,1021539344,1534276539
0.06,6,9,249,-10,20,False,10,0,10,True,18,208,1534276539,4225193153
0.06,6,10,250,-9,20,False,11,0,11,True,208,205,4225193153,2680931039
0.06,6,11,251,-8,20,False,12,0,12,True,44,4,2680931039,3821198068
0.06,6,12,252,-7,20,False,13,0,13,True,174,76,3821198068,3333533055
0.06,6,13,253,-6,20,False,14,0,14,True,107,105,3333533055,3756345482
0.06,6,14,254,-5,20,False,15,0,15,True,198,85,3756345482,364380949
0.06,6,15,255,-4,20,False,16,0,16,True,192,197,364380949,3283420129
0.06,6,16,256,-3,20,False,17,0,17,True,201,178,3283420129,2109694035
0.06,6,17,257,-2,20,False,18,0,18,True,0,103,2109694035,1323037321
0.06,6,18,258,-1,20,False,19,0,19,True,124,177,1323037321,2932232616
0.06,6,19,259,0,20,True,19,0,20,True,188,145,2932232616,959586516
0.06,6,20,260,1,20,True,19,0,21,True,188,145,959586516,369227209
0.06,6,21,261,2,20,True,19,0,22,True,188,145,369227209,159028224
0.06,6,22,262,3,20,True,19,0,23,True,188,145,159028224,1188080670
0.06,6,23,263,4,20,True,19,0,24,True,188,145,1188080670,3414165203
0.06,6,24,264,5,20,True,19,0,25,True,188,145,3414165203,1215546913
0.06,6,25,265,6,20,True,19,0,26,True,188,145,1215546913,117655301
0.06,6,26,266,7,20,True,19,0,27,True,188,145,117655301,1694089972
0.06,6,27,267,8,20,True,19,0,28,True,188,145,1694089972,1927849080
0.06,6,28,268,9,20,True,19,0,29,True,188,145,1927849080,881403043
0.06,6,29,269,10,20,True,19,0,30,True,188,145,881403043,290148888
0.06,6,30,270,11,20,True,19,0,31,True,188,145,290148888,2155938634
0.06,6,31,271,12,20,True,19,0,32,True,188,145,2155938634,3428832667
0.06,6,32,272,13,20,True,19,0,33,True,188,145,3428832667,12750172
0.06,6,33,273,14,20,True,19,0,34,True,188,145,12750172,1038962027
0.06,6,34,274,15,20,True,19,0,35,True,188,145,1038962027,3472014867
0.06,6,35,275,16,20,True,19,0,36,True,188,145,3472014867,410824228
0.06,6,36,276,17,20,True,19,0,37,True,188,145,410824228,516815495
0.06,6,37,277,18,20,True,19,0,38,True,188,145,516815495,390411510
0.06,6,38,278,19,20,True,19,0,39,True,188,145,390411510,215561586
0.06,6,39,279,20,20,True,19,0,40,True,188,145,215561586,563019712
0.06,7,0,280,-19,20,False,1,0,1,True,20,20,1,2525019014
0.06,7,1,281,-18,20,False,2,0,2,True,137,20,2525019014,2592004160
0.06,7,2,282,-17,20,False,3,0,3,True,187,20,2592004160,1988683261
0.06,7,3,283,-16,20,False,4,0,4,True,56,190,1988683261,2677848701
0.06,7,5,285,-14,20,False,5,1,5,True,147,6,263841224,3531698935
0.06,7,6,286,-13,20,False,6,1,6,True,40,12,3531698935,515086452
0.06,7,8,288,-11,20,False,7,2,7,True,223,17,1021539344,1534276539
0.06,7,9,289,-10,20,False,8,2,8,True,99,35,1534276539,4225193153
0.06,7,10,290,-9,20,False,9,2,9,True,221,203,4225193153,2680931039
0.06,7,11,291,-8,20,False,10,2,10,True,222,150,2680931039,3821198068
0.06,7,12,292,-7,20,False,11,2,11,True,120,115,3821198068,3333533055
0.06,7,13,293,-6,20,False,12,2,12,True,75,171,3333533055,3756345482
0.06,7,14,294,-5,20,False,13,2,13,True,151,242,3756345482,364380949
0.06,7,15,295,-4,20,False,14,2,14,True,91,200,364380949,3283420129
0.06,7,16,296,-3,20,False,15,2,15,True,219,190,3283420129,2109694035
0.06,7,19,299,0,20,False,16,4,16,True,248,165,2932232616,959586516
0.06,7,20,300,1,20,False,17,4,17,True,244,34,959586516,369227209
0.06,7,21,301,2,20,False,18,4,18,True,212,139,369227209,159028224
0.06,7,22,302,3,20,False,19,4,19,True,85,141,159028224,1188080670
0.06,7,23,303,4,20,True,19,4,20,True,198,2,1188080670,3414165203
0.06,7,24,304,5,20,True,19,4,21,True,198,2,3414165203,1215546913
0.06,7,25,305,6,20,True,19,4,22,True,198,2,1215546913,117655301
0.06,7,26,306,7,20,True,19,4,23,True,198,2,117655301,1694089972
0.06,7,27,307,8,20,True,19,4,24,True,198,2,1694089972,1927849080
0.06,7,28,308,9,20,True,19,4,25,True,198,2,1927849080,881403043
0.06,7,29,309,10,20,True,19,4,26,True,198,2,881403043,290148888
0.06,7,30,310,11,20,True,19,4,27,True,198,2,290148888,2155938634
0.06,7,31,311,12,20,True,19,4,28,True,198,2,2155938634,3428832667
0.06,7,32,312,13,20,True,19,4,29,True,198,2,3428832667,12750172
0.06,7,33,313,14,20,True,19,4,30,True,198,2,12750172,1038962027
0.06,7,34,314,15,20,True,19,4,31,True,198,2,1038962027,3472014867
0.06,7,35,315,16,20,True,19,4,32,True,198,2,3472014867,410824228
0.06,7,36,316,17,20,True,19,4,33,True,198,2,410824228,516815495
0.06,7,37,317,18,20,True,19,4,34,True,198,2,516815495,390411510
0.06,7,38,318,19,20,True,19,4,35,True,198,2,390411510,215561586
0.06,7,39,319,20,20,True,19,4,36,True,198,2,215561586,563019712
0.06,8,0,320,-19,20,False,1,0,1,True,17,17,1,2525019014
0.06,8,1,321,-18,20,False,2,0,2,True,219,17,2525019014,2592004160
0.06,8,2,322,-17,20,False,3,0,3,True,116,17,2592004160,1988683261
0.06,8,3,323,-16,20,False,4,0,4,True,73,126,1988683261,2677848701
0.06,8,4,324,-15,20,False,5,0,5,True,136,77,2677848701,263841224
0.06,8,5,325,-14,20,False,6,0,6,True,142,194,263841224,3531698935
0.06,8,6,326,-13,20,False,7,0,7,True,2,87,3531698935,515086452
0.06,8,7,327,-12,20,False,8,0,8,True,91,240,515086452,1021539344
0.06,8,8,328,-11,20,False,9,0,9,True,28,222,1021539344,1534276539
0.06,8,10,330,-9,20,False,10,1,10,True,99,242,4225193153,2680931039
0.06,8,11,331,-8,20,False,11,1,11,True,164,170,2680931039,3821198068
0.06,8,12,332,-7,20,False,12,1,12,True,180,115,3821198068,3333533055
0.06,8,13,333,-6,20,False,13,1,13,True,11,71,3333533055,3756345482
0.06,8,14,334,-5,20,False,14,1,14,True,90,77,3756345482,364380949
0.06,8,15,335,-4,20,False,15,1,15,True,126,153,364380949,3283420129
0.06,8,16,336,-3,20,False,16,1,16,True,140,118,3283420129,2109694035
0.06,8,18,338,-1,20,False,17,2,17,True,55,192,1323037321,2932232616
0.06,8,19,339,0,20,False,18,2,18,True,149,248,2932232616,959586516
0.06,8,20,340,1,20,False,19,2,19,True,87,223,959586516,369227209
0.06,8,21,341,2,20,True,19,2,20,True,26,222,369227209,159028224
0.06,8,22,342,3,20,True,19,2,21,True,26,222,159028224,1188080670
0.06,8,23,343,4,20,True,19,2,22,True,26,222,1188080670,3414165203
0.06,8,24,344,5,20,True,19,2,23,True,26,222,3414165203,1215546913
0.06,8,26,346,7,20,True,19,3,24,True,26,222,117655301,1694089972
0.06,8,27,347,8,20,True,19,3,25,True,26,222,1694089972,1927849080
0.06,8,28,348,9,20,True,19,3,26,True,26,222,1927849080,881403043
0.06,8,29,349,10,20,True,19,3,27,True,26,222,881403043,290148888
0.06,8,30,350,11,20,True,19,3,28,True,26,222,290148888,2155938634
0.06,8,31,351,12,20,True,19,3,29,True,26,222,2155938634,3428832667
0.06,8,32,352,13,20,True,19,3,30,True,26,222,3428832667,12750172
0.06,8,33,353,14,20,True,19,3,31,True,26,222,12750172,1038962027
0.06,8,34,354,15,20,True,19,3,32,True,26,222,1038962027,3472014867
0.06,8,35,355,16,20,True,19,3,33,True,26,222,3472014867,410824228
0.06,8,36,356,17,20,True,19,3,34,True,26,222,410824228,516815495
0.06,8,37,357,18,20,True,19,3,35,True,26,222,516815495,390411510
0.06,8,38,358,19,20,True,19,3,36,True,26,222,390411510,215561586
0.06,8,39,359,20,20,True,19,3,37,True,26,222,215561586,563019712
0.06,9,0,360,-19,20,False,1,0,1,True,198,198,1,2525019014
0.06,9,1,361,-18,20,False,2,0,2,True,3,198,2525019014,2592004160
0.06,9,2,362,-17,20,False,3,0,3,True,19,198,2592004160,1988683261
0.06,9,3,363,-16,20,False,4,0,4,True,60,102,1988683261,2677848701
0.06,9,4,364,-15,20,False,5,0,5,True,76,9,2677848701,263841224
0.06,9,5,365,-14,20,False,6,0,6,True,192,12,263841224,3531698935
0.06,9,6,366,-13,20,False,7,0,7,True,56,130,3531698935,515086452
0.06,9,7,367,-12,20,False,8,0,8,True,203,190,515086452,1021539344
0.06,9,8,368,-11,20,False,9,0,9,True,96,229,1021539344,1534276539
0.06,9,9,369,-10,20,False,10,0,10,True,237,77,1534276539,4225193153
0.06,9,10,370,-9,20,False,11,0,11,True,250,87,4225193153,2680931039
0.06,9,11,371,-8,20,False,12,0,12,True,232,181,2680931039,3821198068
0.06,9,12,372,-7,20,False,13,0,13,True,222,159,3821198068,3333533055
0.06,9,13,373,-6,20,False,14,0,14,True,169,116,3333533055,3756345482
0.06,9,14,374,-5,20,False,15,0,15,True,47,55,3756345482,364380949
0.06,9,15,375,-4,20,False,16,0,16,True,119,188,364380949,3283420129
